0.175	9.94028e10
0.225	2.39658e11
0.275	4.25241e11
0.325	5.81369e11
0.375	5.8637e11
0.425	4.17457e11
0.475	2.09378e11
0.525	7.49498e10
0.575	1.93811e10
0.625	1.66864e10
0.675	5.00688e10
0.725	9.45798e10
0.775	1.22811e11
0.825	1.29497e11
0.875	1.21588e11
0.925	1.10058e11
0.975	9.73411e10
1.025	8.68086e10
1.075	7.98381e10
1.125	7.47984e10
1.175	7.06776e10
1.225	6.37475e10
1.275	5.84965e10
1.325	5.6086e10
1.375	5.17218e10
1.425	4.90687e10
1.475	4.63566e10
1.525	4.30168e10
1.575	4.15273e10
1.625	4.00156e10
1.675	3.78376e10
1.725	3.50046e10
1.775	3.32782e10
1.825	3.28337e10
1.875	3.10522e10
1.925	2.9968e10
1.975	2.85486e10
2.025	2.7273e10
2.075	2.60258e10
2.125	2.52309e10
2.175	2.40663e10
2.225	2.29381e10
2.275	2.2358e10
2.325	2.18399e10
2.375	2.0458e10
2.425	2.01709e10
2.475	1.93547e10
2.525	1.81729e10
